Table 2.1. Personal Income and Its Disposition
Table 2.1. Personal Income and Its Disposition
"Last Revised on: August 28, 2025 - Next Release Date September 25, 2025"
Line,,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
1,Personal income,22981.2,23288.8,23532.4,23807.8,24344.2,24574.0,24716.7,25042.3,25450.1,25776.6
2,"    Compensation of employees",13883.4,14084.6,14311.4,14481.2,14823.7,14945.6,15036.1,15274.2,15476.0,15666.9
3,"        Wages and salaries",11480.7,11641.0,11824.0,11955.3,12251.0,12343.0,12404.1,12606.2,12767.0,12918.6
4,"            Private industries",9792.9,9929.3,10073.0,10174.7,10434.7,10499.7,10537.5,10711.9,10849.1,10980.6
5,"            Government",1687.8,1711.7,1751.0,1780.7,1816.2,1843.3,1866.6,1894.4,1917.9,1937.9
6,"        Supplements to wages and salaries",2402.7,2443.7,2487.5,2525.9,2572.8,2602.6,2632.0,2668.0,2709.0,2748.3
7,"            Employer contributions for employee pension and insurance funds1",1602.1,1628.3,1657.9,1687.4,1722.7,1750.3,1776.6,1799.3,1827.2,1856.8
8,"            Employer contributions for government social insurance",800.7,815.4,829.6,838.5,850.1,852.3,855.4,868.7,881.8,891.5
9,"    Proprietors' income with inventory valuation and capital consumption adjustments",1934.7,1936.6,1954.6,1970.1,1972.1,2002.3,2013.5,2035.5,2053.2,2063.0
10,"        Farm",92.7,76.0,66.2,50.2,38.5,41.1,46.4,54.7,56.1,50.9
11,"        Nonfarm",1842.0,1860.6,1888.3,1920.0,1933.6,1961.2,1967.1,1980.8,1997.1,2012.2
12,"    Rental income of persons with capital consumption adjustment",963.6,984.1,995.0,1013.6,1046.1,1053.4,1055.7,1072.2,1091.8,1091.9
13,"    Personal income receipts on assets",3729.9,3806.4,3836.2,3919.1,3938.9,3950.2,3938.8,3958.3,4007.7,4006.4
14,"        Personal interest income",1823.3,1870.6,1908.7,1965.3,1951.0,1966.2,1966.3,1975.1,1992.1,2004.6
15,"        Personal dividend income",1906.6,1935.8,1927.5,1953.8,1988.0,1984.0,1972.4,1983.3,2015.6,2001.8
16,"    Personal current transfer receipts",4245.6,4281.6,4268.3,4276.5,4446.1,4512.3,4570.4,4626.6,4776.6,4923.9
17,"        Government social benefits to persons",4121.6,4160.2,4147.5,4156.5,4314.6,4380.1,4437.8,4491.1,4628.6,4780.6
18,"            Social security2",1339.9,1353.3,1360.7,1374.0,1426.5,1439.7,1453.1,1467.9,1528.8,1606.0
19,"            Medicare3",981.1,1001.8,1019.9,1035.3,1049.2,1067.1,1090.2,1118.5,1150.3,1182.1
20,"            Medicaid",877.6,911.6,867.2,856.2,904.8,924.7,932.4,944.8,957.6,984.4
21,"            Unemployment insurance",30.1,32.7,34.7,35.3,34.9,34.9,35.7,36.1,35.8,36.7
22,"            Veterans' benefits",186.4,193.9,200.8,206.7,211.7,216.7,221.5,226.3,230.9,242.5
23,"            Other",706.5,666.8,664.2,649.1,687.4,696.8,704.8,697.6,725.3,728.9
24,"        Other current transfer receipts, from business (net)",124.0,121.4,120.9,120.0,131.5,132.3,132.6,135.5,148.0,143.3
25,"    Less: Contributions for government social insurance, domestic",1776.0,1804.5,1833.2,1852.8,1882.9,1889.9,1897.7,1924.6,1955.3,1975.5
