Table 2.3.4. Price Indexes for Personal Consumption Expenditures by Major Type of Product
Table 2.3.4. Price Indexes for Personal Consumption Expenditures by Major Type of Product
"Last Revised on: September 25, 2025 - Next Release Date October 30, 2025"
Line,,1947,1947,1947,1947,1948,1948,1948,1948,1949,1949,1949,1949,1950,1950,1950,1950,1951,1951,1951,1951,1952,1952,1952,1952,1953,1953,1953,1953,1954,1954,1954,1954,1955,1955,1955,1955,1956,1956,1956,1956,1957,1957,1957,1957,1958,1958,1958,1958,1959,1959,1959,1959,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2024,2024,2024,2025,2025
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
1,"        Personal consumption expenditures (PCE)",11.557,11.649,11.866,12.162,12.297,12.424,12.614,12.574,12.475,12.399,12.327,12.317,12.297,12.356,12.614,12.839,13.247,13.353,13.371,13.548,13.606,13.603,13.692,13.715,13.766,13.786,13.861,13.921,13.991,13.972,13.926,13.912,13.957,13.971,14.026,14.064,14.122,14.217,14.356,14.440,14.570,14.662,14.781,14.858,15.041,15.069,15.080,15.074,15.177,15.239,15.331,15.415,15.435,15.515,15.574,15.642,15.671,15.670,15.726,15.743,15.811,15.867,15.910,15.958,16.004,16.029,16.107,16.166,16.243,16.278,16.331,16.385,16.438,16.522,16.583,16.634,16.763,16.899,17.028,17.160,17.209,17.291,17.452,17.602,17.789,17.971,18.157,18.358,18.536,18.772,19.002,19.221,19.444,19.659,19.851,20.108,20.299,20.530,20.732,20.860,21.080,21.202,21.388,21.562,21.823,22.242,22.647,23.110,23.798,24.472,25.132,25.771,26.256,26.578,27.076,27.530,27.833,28.066,28.492,28.942,29.465,29.969,30.420,30.852,31.358,32.002,32.564,33.179,33.804,34.728,35.590,36.451,37.545,38.464,39.364,40.338,41.384,42.078,42.772,43.427,43.979,44.402,45.103,45.601,45.978,46.398,47.008,47.318,47.830,48.293,48.666,48.966,49.544,49.945,50.337,50.688,51.047,50.993,51.263,51.573,52.061,52.564,53.062,53.520,53.943,54.539,55.211,55.769,56.410,57.170,57.507,57.959,58.799,59.333,60.087,60.882,61.202,61.536,61.954,62.404,62.795,63.212,63.615,64.059,64.441,64.874,65.155,65.531,65.766,66.133,66.607,66.920,67.247,67.639,67.915,68.214,68.593,69.052,69.346,69.819,70.127,70.303,70.488,70.710,70.715,70.843,71.062,71.249,71.390,71.796,72.191,72.629,73.219,73.568,74.042,74.460,75.012,75.363,75.401,75.432,75.584,76.145,76.539,76.896,77.484,77.562,78.073,78.457,79.062,79.594,79.985,80.669,81.138,81.650,82.532,83.189,83.621,84.355,84.962,84.822,85.597,86.324,86.812,87.694,88.408,89.269,90.221,88.781,88.181,88.532,89.142,89.830,90.177,90.317,90.490,91.070,91.835,92.738,93.167,93.475,94.094,94.321,94.595,95.126,95.459,95.508,95.901,96.254,96.696,97.129,97.394,97.265,96.829,97.312,97.565,97.490,97.538,98.157,98.496,98.947,99.524,99.724,100.076,100.676,101.380,101.912,102.254,102.642,102.851,103.426,103.675,104.083,104.445,104.017,104.835,105.369,106.567,108.184,109.655,111.484,113.582,115.658,116.986,118.176,119.308,120.190,120.999,121.546,122.622,123.409,123.930,124.703,125.759,126.424
2,Goods,22.699,22.917,23.267,23.880,24.223,24.482,24.859,24.673,24.368,24.091,23.812,23.671,23.544,23.674,24.257,24.768,25.777,25.998,25.962,26.273,26.336,26.184,26.281,26.212,26.190,26.114,26.110,26.117,26.235,26.134,25.948,25.816,25.853,25.830,25.916,25.922,25.995,26.188,26.473,26.623,26.860,27.065,27.276,27.371,27.819,27.833,27.762,27.631,27.815,27.849,27.936,28.010,27.970,28.110,28.150,28.256,28.291,28.174,28.246,28.198,28.282,28.347,28.392,28.470,28.503,28.506,28.679,28.747,28.883,28.874,28.928,28.997,29.061,29.230,29.302,29.303,29.570,29.784,29.972,30.145,30.121,30.192,30.514,30.749,31.033,31.296,31.585,31.902,32.124,32.510,32.875,33.181,33.501,33.775,34.010,34.389,34.571,34.900,35.091,35.191,35.548,35.661,35.936,36.186,36.764,37.611,38.326,39.179,40.723,42.077,43.384,44.652,45.308,45.655,46.522,47.153,47.384,47.541,48.127,48.811,49.583,50.284,50.807,51.429,52.130,53.234,54.105,55.035,56.365,57.988,59.493,60.944,63.127,64.658,65.977,67.321,68.985,69.843,70.530,71.122,71.526,71.678,72.415,72.504,72.510,73.228,73.734,73.852,74.445,74.625,74.787,75.016,75.494,75.864,75.922,76.386,76.136,75.051,75.400,75.660,76.976,77.738,78.413,78.843,78.959,79.626,80.506,81.100,81.963,83.388,83.406,83.753,85.291,85.615,86.824,88.398,88.344,88.518,88.680,89.046,89.150,89.528,89.985,90.205,90.367,90.446,90.344,90.827,90.731,91.048,91.886,92.002,92.111,92.300,92.325,92.347,92.962,93.372,93.196,93.610,93.719,93.213,92.950,92.826,92.105,91.739,91.713,91.549,91.457,92.114,92.571,92.889,93.612,94.047,94.297,94.400,94.394,94.547,94.070,93.061,92.650,93.301,93.285,93.250,93.771,92.478,92.917,92.847,93.606,94.133,94.205,95.300,95.127,95.473,97.058,97.156,97.075,97.818,98.387,96.696,97.374,98.432,98.643,99.857,100.885,102.142,103.855,99.216,97.466,98.547,99.760,100.565,100.710,100.118,100.092,101.211,102.789,104.520,104.878,105.112,105.765,105.424,105.410,105.883,105.756,104.787,104.911,104.741,104.896,105.002,104.791,103.479,101.343,101.871,101.612,100.573,99.518,99.960,99.566,99.797,100.331,99.712,99.744,100.213,100.748,101.012,100.840,100.644,100.215,100.694,100.334,100.463,100.217,98.732,99.643,100.073,101.442,103.519,105.325,108.110,111.224,113.951,114.600,114.781,115.002,115.094,115.194,114.856,114.707,114.817,114.349,114.280,114.911,114.969
3,"    Durable goods",51.892,52.369,52.662,53.348,53.756,54.461,56.356,56.459,56.269,55.900,55.220,55.154,54.986,55.408,56.176,57.103,59.215,59.609,59.632,60.207,60.618,59.904,60.524,59.103,59.678,59.746,59.363,59.479,59.953,58.447,57.489,57.154,57.510,57.792,58.342,58.497,58.720,58.846,59.697,60.476,60.962,61.805,61.799,61.919,63.020,62.766,62.701,62.478,63.568,63.811,63.800,63.772,63.679,63.603,63.408,63.297,63.308,63.607,63.897,63.818,63.826,63.909,64.119,63.867,63.888,64.083,64.264,64.466,64.559,64.522,64.452,64.324,64.335,64.134,63.814,63.462,63.378,63.650,63.932,64.224,64.091,64.372,65.082,65.739,66.166,66.569,67.123,67.736,68.131,68.642,68.970,69.395,69.514,69.787,70.301,71.470,72.482,72.998,72.835,72.461,73.086,73.461,73.836,73.599,73.904,74.486,74.853,75.092,75.924,77.846,80.812,83.339,84.645,86.167,87.112,88.451,89.646,90.641,91.738,93.290,94.247,94.727,95.711,96.992,98.382,99.882,101.500,103.276,104.953,106.800,108.026,109.973,113.197,115.869,117.981,120.003,121.527,123.818,125.649,127.285,128.355,129.354,129.816,130.192,131.121,131.608,132.328,133.151,133.190,134.017,134.283,134.530,135.215,135.529,135.299,135.649,135.680,136.305,137.443,138.221,139.386,140.478,141.483,142.059,141.812,142.597,143.612,144.680,145.413,145.530,145.858,146.336,147.115,147.129,147.194,147.491,148.753,149.127,149.680,150.001,149.995,150.404,150.528,150.763,150.687,151.481,152.219,153.224,153.578,154.494,155.583,155.849,156.472,156.301,155.798,155.452,155.569,154.543,154.140,153.473,152.882,151.408,150.393,149.555,148.455,147.348,146.222,145.134,143.914,143.198,142.538,141.691,141.032,140.734,139.872,139.535,138.909,137.923,137.012,136.336,135.141,134.462,133.791,132.901,131.193,129.766,128.454,127.280,127.170,127.063,126.092,126.265,125.992,125.814,124.905,124.615,124.091,123.514,122.964,122.179,121.543,120.962,120.129,119.625,119.289,118.511,118.130,117.287,116.657,116.352,115.460,115.854,115.227,114.202,113.355,113.000,113.014,113.299,113.118,112.662,112.507,111.846,111.203,110.823,110.545,109.812,109.213,108.637,107.705,106.981,106.597,105.803,105.048,105.107,104.470,103.841,103.336,103.017,101.963,101.031,100.952,100.353,99.481,99.213,99.091,98.844,98.363,98.235,98.462,97.950,97.370,96.961,96.776,95.905,96.907,97.668,98.021,101.231,103.527,105.950,108.276,108.608,109.326,108.958,108.867,108.805,107.559,106.687,106.609,105.893,105.288,105.214,105.442,106.248
4,"        Motor vehicles and parts",21.145,21.162,21.482,21.792,22.030,22.297,24.034,23.839,23.938,24.004,23.738,23.749,23.786,23.978,23.938,23.990,24.736,24.908,24.988,25.958,26.583,26.130,26.846,25.170,25.905,25.945,25.355,25.545,26.201,24.761,24.100,24.132,24.519,24.904,25.377,25.544,25.784,25.742,26.435,26.943,27.516,28.123,27.966,27.909,28.907,28.869,29.057,28.901,30.247,30.449,30.405,30.373,30.123,29.921,29.654,29.506,29.522,29.874,30.259,30.223,30.241,30.473,30.677,30.436,30.448,30.641,30.798,30.901,30.999,30.951,30.958,30.882,30.992,30.802,30.584,30.399,30.307,30.465,30.554,30.619,30.273,30.522,31.156,31.659,31.655,31.812,32.061,32.341,32.369,32.546,32.631,32.899,32.942,33.141,33.628,34.671,35.473,35.650,35.136,34.620,35.138,35.414,35.603,35.077,35.221,35.527,35.597,35.532,35.570,36.607,38.528,39.908,40.310,41.051,41.652,42.484,43.282,43.970,44.813,46.084,46.513,46.693,47.153,48.200,49.138,49.801,50.857,51.833,52.856,54.049,54.574,55.353,56.763,57.647,58.634,59.858,60.519,62.241,63.592,64.566,64.982,65.647,66.064,66.121,66.962,67.320,67.949,68.765,68.847,69.567,70.095,70.232,70.891,71.157,71.407,71.742,72.063,72.723,73.767,74.510,75.004,76.306,77.369,77.791,76.946,77.265,78.251,78.823,79.779,80.178,80.072,80.453,80.554,80.123,80.140,80.698,81.920,82.331,82.967,83.342,83.275,83.924,84.535,85.064,85.756,86.920,88.121,89.266,89.789,90.785,92.165,93.575,94.623,95.280,95.179,95.746,96.774,96.819,97.153,97.720,98.047,97.475,97.192,97.227,96.620,96.049,96.457,96.577,96.337,96.327,97.029,97.180,96.803,97.229,96.938,97.332,97.632,97.485,97.202,97.505,97.021,96.851,97.132,96.779,95.290,94.672,93.982,92.894,93.033,93.392,93.116,94.279,94.816,95.187,94.477,95.080,95.304,95.062,94.915,94.481,94.294,94.344,94.453,94.585,93.957,93.125,92.410,91.271,91.006,91.495,92.458,95.253,96.244,96.024,96.299,96.893,97.864,99.214,100.067,100.302,100.435,100.639,100.701,101.071,101.388,101.328,101.772,102.153,101.772,101.657,102.000,101.805,101.549,102.378,102.294,101.638,101.441,101.731,101.328,100.734,100.598,100.329,99.376,99.697,99.989,99.858,99.935,100.283,101.250,100.840,100.477,100.810,101.481,100.733,102.617,105.107,105.009,111.758,117.150,122.828,126.889,127.023,128.233,128.106,127.024,128.951,127.737,127.292,126.510,125.077,124.057,125.361,126.809,126.317
5,"        Furnishings and durable household equipment",48.665,49.320,49.807,50.461,50.767,51.422,52.131,52.280,51.441,50.430,49.979,49.854,49.595,50.191,51.794,53.654,56.111,56.855,56.697,56.517,56.432,55.824,55.964,55.690,55.738,55.992,56.291,56.278,56.081,56.029,55.790,55.341,55.324,55.298,55.477,55.486,55.359,55.561,55.950,56.543,56.476,56.768,56.888,57.036,57.354,56.646,56.326,56.371,56.461,56.735,56.816,56.827,57.015,57.189,57.276,57.359,57.358,57.439,57.424,57.390,57.413,57.347,57.282,57.292,57.273,57.285,57.356,57.534,57.560,57.529,57.374,57.238,57.160,57.126,56.988,56.949,57.014,57.241,57.707,58.149,58.351,58.566,58.993,59.378,60.274,60.925,61.397,61.932,62.498,63.118,63.610,64.034,64.318,64.605,64.730,65.119,65.456,65.773,66.067,66.155,66.351,66.576,66.915,67.353,67.711,68.112,68.602,69.071,70.355,72.414,75.182,77.833,79.604,80.946,81.733,82.907,83.900,84.533,85.072,85.676,86.735,87.371,88.376,89.207,89.960,91.677,93.024,94.823,96.305,97.514,98.492,100.220,102.892,105.273,107.308,108.949,111.087,113.103,115.037,116.562,118.258,119.901,120.130,120.991,121.709,122.369,122.947,123.423,123.442,124.079,124.083,124.787,125.055,125.864,124.909,126.007,125.907,126.502,127.140,127.572,128.251,128.697,129.206,128.980,129.488,130.625,130.883,131.482,130.901,130.211,131.331,131.593,132.157,132.293,132.591,132.299,132.563,132.902,133.688,133.203,134.508,134.784,134.540,134.833,134.291,135.266,135.459,136.505,136.854,137.757,138.217,137.056,137.165,136.731,137.640,137.487,137.771,137.528,137.923,137.359,137.543,137.914,137.305,137.005,137.265,137.931,137.425,136.687,136.466,135.864,135.330,134.505,135.003,134.757,134.540,133.941,133.362,132.511,132.007,131.139,130.192,130.078,129.296,128.523,127.701,126.324,124.983,124.495,124.749,124.468,123.756,124.315,124.559,125.002,124.020,123.807,123.801,123.680,123.657,123.695,123.372,123.281,122.475,121.679,122.054,121.338,122.054,122.053,122.500,122.698,120.892,119.510,118.345,116.875,115.389,114.239,114.117,114.615,114.800,114.230,114.754,114.557,114.493,114.029,113.720,112.903,111.670,110.722,109.789,108.436,108.015,107.339,106.401,106.543,105.351,104.658,104.327,103.637,102.144,101.500,101.795,100.625,99.124,98.457,98.763,99.434,98.591,99.323,100.193,99.962,99.861,99.007,99.499,99.685,101.398,102.203,102.418,104.842,106.735,109.515,113.746,115.857,116.722,116.009,116.640,115.063,114.145,112.792,112.615,111.075,110.457,110.416,110.038,111.524
6,"        Recreational goods and vehicles",314.697,318.534,317.415,322.419,326.079,331.949,341.127,347.675,350.593,350.742,347.740,348.534,344.525,342.508,347.445,350.824,359.624,355.370,352.147,346.851,344.273,341.056,340.683,338.835,336.527,336.548,338.182,336.254,334.112,328.847,322.979,318.288,317.558,315.195,315.715,315.057,315.862,317.942,320.302,323.685,324.351,329.149,332.539,336.815,341.445,342.283,339.616,335.729,331.198,329.558,329.615,329.725,331.199,332.428,332.874,332.439,331.724,331.103,330.071,328.924,328.031,327.177,326.418,325.707,325.555,326.171,326.767,326.232,323.487,322.623,321.741,321.064,320.474,318.994,317.289,314.393,313.862,313.790,314.392,315.004,316.019,315.802,315.473,317.362,319.700,320.923,323.326,325.518,327.569,329.754,330.929,330.916,329.870,328.898,329.172,333.008,337.115,341.895,344.382,344.539,345.589,346.328,347.432,348.411,349.717,351.452,352.916,354.928,358.953,363.778,371.085,377.628,383.512,392.096,394.361,398.863,401.576,404.898,406.375,410.000,413.569,415.599,419.202,420.989,425.761,431.820,433.704,437.969,443.330,449.974,453.906,459.018,466.658,473.473,480.027,486.442,491.486,497.039,499.081,504.488,508.264,510.430,510.036,509.357,507.216,504.299,501.369,500.814,498.881,497.686,494.790,493.836,494.238,489.482,485.251,481.331,477.105,473.115,470.078,468.114,471.108,467.235,462.365,463.838,463.597,463.587,461.759,463.652,464.341,461.545,459.946,461.834,460.456,458.884,457.590,455.745,456.807,455.087,449.159,448.360,444.094,441.703,435.551,432.478,427.601,423.527,421.000,418.775,416.462,415.728,413.823,409.664,407.058,401.346,392.485,385.200,379.968,371.403,364.539,357.757,349.921,339.501,333.318,327.585,320.615,313.906,304.759,297.065,290.722,285.589,278.869,273.460,269.158,266.944,263.032,258.909,253.269,248.475,244.148,240.054,235.548,232.187,228.690,225.639,221.909,217.330,213.326,211.236,209.226,207.347,203.943,200.761,197.675,195.559,193.367,190.142,187.015,184.045,181.075,177.537,174.279,171.604,168.016,165.857,164.280,162.081,160.689,159.065,156.335,153.802,150.180,147.693,145.352,142.613,140.050,137.960,135.540,133.341,131.191,129.196,127.760,125.660,123.710,122.119,120.821,118.762,117.347,116.139,114.816,113.918,112.552,111.079,109.846,109.319,108.322,107.998,106.240,104.765,103.236,101.129,100.882,100.155,100.033,98.929,97.913,96.897,96.326,95.624,94.923,93.269,92.070,91.132,90.024,88.334,88.580,88.360,89.318,90.131,90.510,90.805,91.123,90.695,90.849,89.937,89.732,88.678,87.044,85.972,86.766,86.591,86.073,84.766,84.779,86.344
7,"        Other durable goods",31.938,32.307,31.649,31.852,31.860,32.194,32.457,32.659,32.744,32.625,31.659,31.510,31.357,31.454,31.739,32.141,33.435,33.469,33.940,33.623,33.480,33.424,33.426,33.826,33.719,33.548,33.749,33.753,33.825,33.277,32.604,32.289,32.600,32.532,32.580,32.622,32.720,32.866,33.028,33.086,32.926,33.198,33.216,33.224,33.105,33.290,33.190,33.144,33.322,33.353,33.346,33.321,33.397,33.435,33.451,33.437,33.455,33.355,33.328,33.305,33.363,32.941,33.333,33.242,33.358,33.321,33.279,33.619,34.031,34.287,34.318,34.366,34.101,34.289,34.183,33.726,33.694,34.002,34.112,34.452,34.730,34.752,34.926,35.094,35.251,35.247,35.737,36.335,36.925,37.297,37.555,37.853,38.038,38.290,38.504,38.684,38.969,39.218,39.644,39.899,40.298,40.509,40.858,41.169,41.235,41.882,42.375,42.656,43.666,44.654,45.670,47.093,47.809,48.413,49.048,49.580,50.171,50.589,51.414,52.169,52.746,52.962,53.610,53.987,54.820,55.590,56.795,57.942,58.639,59.686,61.311,64.082,68.708,73.232,75.175,76.452,76.858,77.100,77.533,78.228,78.325,77.643,78.099,78.639,79.486,80.329,81.363,81.614,82.002,82.638,82.553,82.491,82.706,83.430,83.613,83.530,83.723,84.538,86.004,86.889,89.052,90.195,91.994,93.139,94.794,96.075,97.715,99.590,100.189,101.223,102.429,102.380,105.945,108.271,108.580,109.030,110.246,110.848,112.647,114.069,114.100,114.361,115.563,115.611,115.366,115.559,115.812,116.434,116.951,117.212,118.292,118.113,118.836,119.068,120.127,120.368,119.735,118.977,118.940,117.896,117.806,117.347,117.344,116.376,116.426,115.557,114.393,113.925,112.313,112.778,111.951,111.670,111.768,110.521,109.781,110.707,111.427,111.183,111.054,110.521,110.130,109.663,108.692,108.283,107.384,106.887,106.805,105.722,106.165,106.668,105.979,105.794,105.327,104.693,105.101,105.459,105.152,105.895,106.428,106.954,108.023,107.728,108.003,108.513,109.682,111.026,111.340,111.107,111.007,111.189,110.729,111.604,110.397,110.561,110.393,111.335,112.732,113.845,113.707,114.104,114.240,113.027,111.913,111.715,111.641,111.501,110.526,109.146,107.493,106.425,105.901,104.573,103.638,102.568,101.911,100.919,101.470,102.187,100.971,100.843,100.649,100.358,99.292,99.702,99.512,98.993,97.793,96.130,95.326,96.559,96.009,95.637,94.327,93.446,92.911,91.930,92.183,93.811,94.283,94.349,94.916,94.819,95.607,96.587,97.792,98.247,97.600,97.238,96.510,97.123,97.223,97.595,96.845,97.099
8,"    Nondurable goods",14.928,15.074,15.346,15.810,16.070,16.230,16.388,16.218,15.971,15.766,15.587,15.469,15.371,15.442,15.885,16.249,16.935,17.088,17.052,17.268,17.285,17.220,17.250,17.322,17.247,17.174,17.210,17.205,17.262,17.319,17.250,17.169,17.169,17.120,17.137,17.126,17.167,17.327,17.493,17.546,17.708,17.804,17.994,18.066,18.353,18.388,18.333,18.239,18.295,18.300,18.379,18.448,18.422,18.554,18.609,18.714,18.742,18.611,18.646,18.611,18.684,18.733,18.751,18.849,18.876,18.857,18.996,19.034,19.148,19.144,19.202,19.280,19.339,19.521,19.628,19.673,19.937,20.105,20.246,20.373,20.368,20.400,20.614,20.752,20.967,21.166,21.369,21.592,21.753,22.056,22.364,22.602,22.893,23.118,23.274,23.481,23.520,23.765,23.973,24.126,24.389,24.446,24.662,24.946,25.479,26.247,26.914,27.741,29.172,30.238,31.089,31.971,32.426,32.543,33.268,33.696,33.739,33.737,34.156,34.599,35.232,35.878,36.251,36.675,37.164,38.056,38.681,39.343,40.441,41.813,43.168,44.337,46.043,47.168,48.167,49.209,50.663,51.165,51.568,51.908,52.150,52.146,52.819,52.849,52.702,53.362,53.764,53.740,54.365,54.399,54.522,54.720,55.102,55.441,55.553,55.991,55.710,54.380,54.521,54.640,55.859,56.473,57.010,57.367,57.553,58.132,58.899,59.332,60.145,61.731,61.679,61.965,63.532,63.895,65.238,66.928,66.596,66.706,66.767,67.104,67.220,67.555,68.041,68.239,68.442,68.354,68.071,68.391,68.197,68.344,69.051,69.123,69.101,69.359,69.507,69.617,70.305,71.040,70.934,71.592,71.877,71.658,71.613,71.689,71.116,70.976,71.262,71.375,71.618,72.655,73.435,74.098,75.232,75.888,76.486,76.732,76.935,77.458,77.138,76.038,75.902,76.996,77.211,77.483,78.778,77.561,78.635,78.975,80.048,80.804,81.267,82.705,82.569,83.113,85.673,85.920,86.010,87.266,88.273,86.235,87.435,89.145,89.771,91.671,93.228,95.272,97.784,91.740,89.589,91.160,93.147,94.102,94.539,94.119,94.410,96.098,98.284,100.577,101.147,101.661,102.648,102.445,102.697,103.534,103.473,102.402,102.847,102.858,103.498,103.981,103.852,102.303,99.522,100.271,100.192,98.955,97.636,98.442,98.368,99.175,100.015,99.387,99.875,100.723,101.600,102.132,102.121,101.889,101.118,102.114,101.870,102.288,102.010,100.209,101.072,101.311,103.281,104.669,106.186,109.183,112.756,116.866,117.479,117.974,118.374,118.556,119.456,119.438,119.248,119.852,119.469,119.405,120.279,119.882
