"code","date","value","uname","tcode"
"PRECOS12_IPCA12",2000-01-01,1598.41,"",NA
"PRECOS12_IPCA12",2000-02-01,1600.49,"",NA
"PRECOS12_IPCA12",2000-03-01,1604.01,"",NA
"PRECOS12_IPCA12",2000-04-01,1610.75,"",NA
"PRECOS12_IPCA12",2000-05-01,1610.91,"",NA
"PRECOS12_IPCA12",2000-06-01,1614.62,"",NA
"PRECOS12_IPCA12",2000-07-01,1640.62,"",NA
"PRECOS12_IPCA12",2000-08-01,1662.11,"",NA
"PRECOS12_IPCA12",2000-09-01,1665.93,"",NA
"PRECOS12_IPCA12",2000-10-01,1668.26,"",NA
"PRECOS12_IPCA12",2000-11-01,1673.6,"",NA
"PRECOS12_IPCA12",2000-12-01,1683.47,"",NA
"PRECOS12_IPCA12",2001-01-01,1693.07,"",NA
"PRECOS12_IPCA12",2001-02-01,1700.86,"",NA
"PRECOS12_IPCA12",2001-03-01,1707.32,"",NA
"PRECOS12_IPCA12",2001-04-01,1717.22,"",NA
"PRECOS12_IPCA12",2001-05-01,1724.26,"",NA
"PRECOS12_IPCA12",2001-06-01,1733.23,"",NA
"PRECOS12_IPCA12",2001-07-01,1756.28,"",NA
"PRECOS12_IPCA12",2001-08-01,1768.57,"",NA
"PRECOS12_IPCA12",2001-09-01,1773.52,"",NA
"PRECOS12_IPCA12",2001-10-01,1788.24,"",NA
"PRECOS12_IPCA12",2001-11-01,1800.94,"",NA
"PRECOS12_IPCA12",2001-12-01,1812.65,"",NA
"PRECOS12_IPCA12",2002-01-01,1822.08,"",NA
"PRECOS12_IPCA12",2002-02-01,1828.64,"",NA
"PRECOS12_IPCA12",2002-03-01,1839.61,"",NA
"PRECOS12_IPCA12",2002-04-01,1854.33,"",NA
"PRECOS12_IPCA12",2002-05-01,1858.22,"",NA
"PRECOS12_IPCA12",2002-06-01,1866.02,"",NA
"PRECOS12_IPCA12",2002-07-01,1888.23,"",NA
"PRECOS12_IPCA12",2002-08-01,1900.5,"",NA
"PRECOS12_IPCA12",2002-09-01,1914.18,"",NA
"PRECOS12_IPCA12",2002-10-01,1939.26,"",NA
"PRECOS12_IPCA12",2002-11-01,1997.83,"",NA
"PRECOS12_IPCA12",2002-12-01,2039.78,"",NA
"PRECOS12_IPCA12",2003-01-01,2085.68,"",NA
"PRECOS12_IPCA12",2003-02-01,2118.43,"",NA
"PRECOS12_IPCA12",2003-03-01,2144.49,"",NA
"PRECOS12_IPCA12",2003-04-01,2165.29,"",NA
"PRECOS12_IPCA12",2003-05-01,2178.5,"",NA
"PRECOS12_IPCA12",2003-06-01,2175.23,"",NA
"PRECOS12_IPCA12",2003-07-01,2179.58,"",NA
"PRECOS12_IPCA12",2003-08-01,2186.99,"",NA
"PRECOS12_IPCA12",2003-09-01,2204.05,"",NA
"PRECOS12_IPCA12",2003-10-01,2210.44,"",NA
"PRECOS12_IPCA12",2003-11-01,2217.96,"",NA
"PRECOS12_IPCA12",2003-12-01,2229.49,"",NA
"PRECOS12_IPCA12",2004-01-01,2246.43,"",NA
"PRECOS12_IPCA12",2004-02-01,2260.13,"",NA
"PRECOS12_IPCA12",2004-03-01,2270.75,"",NA
"PRECOS12_IPCA12",2004-04-01,2279.15,"",NA
"PRECOS12_IPCA12",2004-05-01,2290.77,"",NA
"PRECOS12_IPCA12",2004-06-01,2307.03,"",NA
"PRECOS12_IPCA12",2004-07-01,2328.02,"",NA
"PRECOS12_IPCA12",2004-08-01,2344.08,"",NA
"PRECOS12_IPCA12",2004-09-01,2351.82,"",NA
"PRECOS12_IPCA12",2004-10-01,2362.17,"",NA
"PRECOS12_IPCA12",2004-11-01,2378.47,"",NA
"PRECOS12_IPCA12",2004-12-01,2398.92,"",NA
"PRECOS12_IPCA12",2005-01-01,2412.83,"",NA
"PRECOS12_IPCA12",2005-02-01,2427.07,"",NA
"PRECOS12_IPCA12",2005-03-01,2441.87,"",NA
"PRECOS12_IPCA12",2005-04-01,2463.11,"",NA
"PRECOS12_IPCA12",2005-05-01,2475.18,"",NA
"PRECOS12_IPCA12",2005-06-01,2474.68,"",NA
"PRECOS12_IPCA12",2005-07-01,2480.87,"",NA
"PRECOS12_IPCA12",2005-08-01,2485.09,"",NA
"PRECOS12_IPCA12",2005-09-01,2493.79,"",NA
"PRECOS12_IPCA12",2005-10-01,2512.49,"",NA
"PRECOS12_IPCA12",2005-11-01,2526.31,"",NA
"PRECOS12_IPCA12",2005-12-01,2535.4,"",NA
"PRECOS12_IPCA12",2006-01-01,2550.36,"",NA
"PRECOS12_IPCA12",2006-02-01,2560.82,"",NA
"PRECOS12_IPCA12",2006-03-01,2571.83,"",NA
"PRECOS12_IPCA12",2006-04-01,2577.23,"",NA
"PRECOS12_IPCA12",2006-05-01,2579.81,"",NA
"PRECOS12_IPCA12",2006-06-01,2574.39,"",NA
"PRECOS12_IPCA12",2006-07-01,2579.28,"",NA
"PRECOS12_IPCA12",2006-08-01,2580.57,"",NA
"PRECOS12_IPCA12",2006-09-01,2585.99,"",NA
"PRECOS12_IPCA12",2006-10-01,2594.52,"",NA
"PRECOS12_IPCA12",2006-11-01,2602.56,"",NA
"PRECOS12_IPCA12",2006-12-01,2615.05,"",NA
"PRECOS12_IPCA12",2007-01-01,2626.56,"",NA
"PRECOS12_IPCA12",2007-02-01,2638.12,"",NA
"PRECOS12_IPCA12",2007-03-01,2647.88,"",NA
"PRECOS12_IPCA12",2007-04-01,2654.5,"",NA
"PRECOS12_IPCA12",2007-05-01,2661.93,"",NA
"PRECOS12_IPCA12",2007-06-01,2669.38,"",NA
"PRECOS12_IPCA12",2007-07-01,2675.79,"",NA
"PRECOS12_IPCA12",2007-08-01,2688.37,"",NA
"PRECOS12_IPCA12",2007-09-01,2693.21,"",NA
"PRECOS12_IPCA12",2007-10-01,2701.29,"",NA
"PRECOS12_IPCA12",2007-11-01,2711.55,"",NA
"PRECOS12_IPCA12",2007-12-01,2731.62,"",NA
"PRECOS12_IPCA12",2008-01-01,2746.37,"",NA
"PRECOS12_IPCA12",2008-02-01,2759.83,"",NA
"PRECOS12_IPCA12",2008-03-01,2773.08,"",NA
"PRECOS12_IPCA12",2008-04-01,2788.33,"",NA
"PRECOS12_IPCA12",2008-05-01,2810.36,"",NA
"PRECOS12_IPCA12",2008-06-01,2831.16,"",NA
"PRECOS12_IPCA12",2008-07-01,2846.16,"",NA
"PRECOS12_IPCA12",2008-08-01,2854.13,"",NA
"PRECOS12_IPCA12",2008-09-01,2861.55,"",NA
"PRECOS12_IPCA12",2008-10-01,2874.43,"",NA
"PRECOS12_IPCA12",2008-11-01,2884.78,"",NA
"PRECOS12_IPCA12",2008-12-01,2892.86,"",NA
"PRECOS12_IPCA12",2009-01-01,2906.74,"",NA
"PRECOS12_IPCA12",2009-02-01,2922.73,"",NA
"PRECOS12_IPCA12",2009-03-01,2928.57,"",NA
"PRECOS12_IPCA12",2009-04-01,2942.63,"",NA
"PRECOS12_IPCA12",2009-05-01,2956.46,"",NA
"PRECOS12_IPCA12",2009-06-01,2967.1,"",NA
"PRECOS12_IPCA12",2009-07-01,2974.22,"",NA
"PRECOS12_IPCA12",2009-08-01,2978.68,"",NA
"PRECOS12_IPCA12",2009-09-01,2985.83,"",NA
"PRECOS12_IPCA12",2009-10-01,2994.19,"",NA
"PRECOS12_IPCA12",2009-11-01,3006.47,"",NA
"PRECOS12_IPCA12",2009-12-01,3017.59,"",NA
"PRECOS12_IPCA12",2010-01-01,3040.22,"",NA
"PRECOS12_IPCA12",2010-02-01,3063.93,"",NA
"PRECOS12_IPCA12",2010-03-01,3079.86,"",NA
"PRECOS12_IPCA12",2010-04-01,3097.42,"",NA
"PRECOS12_IPCA12",2010-05-01,3110.74,"",NA
"PRECOS12_IPCA12",2010-06-01,3110.74,"",NA
"PRECOS12_IPCA12",2010-07-01,3111.05,"",NA
"PRECOS12_IPCA12",2010-08-01,3112.29,"",NA
"PRECOS12_IPCA12",2010-09-01,3126.29,"",NA
"PRECOS12_IPCA12",2010-10-01,3149.74,"",NA
"PRECOS12_IPCA12",2010-11-01,3175.88,"",NA
"PRECOS12_IPCA12",2010-12-01,3195.89,"",NA
"PRECOS12_IPCA12",2011-01-01,3222.42,"",NA
"PRECOS12_IPCA12",2011-02-01,3248.2,"",NA
"PRECOS12_IPCA12",2011-03-01,3273.86,"",NA
"PRECOS12_IPCA12",2011-04-01,3299.07,"",NA
"PRECOS12_IPCA12",2011-05-01,3314.58,"",NA
"PRECOS12_IPCA12",2011-06-01,3319.55,"",NA
"PRECOS12_IPCA12",2011-07-01,3324.86,"",NA
"PRECOS12_IPCA12",2011-08-01,3337.16,"",NA
"PRECOS12_IPCA12",2011-09-01,3354.85,"",NA
"PRECOS12_IPCA12",2011-10-01,3369.28,"",NA
"PRECOS12_IPCA12",2011-11-01,3386.8,"",NA
"PRECOS12_IPCA12",2011-12-01,3403.73,"",NA
"PRECOS12_IPCA12",2012-01-01,3422.79,"",NA
"PRECOS12_IPCA12",2012-02-01,3438.19,"",NA
"PRECOS12_IPCA12",2012-03-01,3445.41,"",NA
"PRECOS12_IPCA12",2012-04-01,3467.46,"",NA
"PRECOS12_IPCA12",2012-05-01,3479.94,"",NA
"PRECOS12_IPCA12",2012-06-01,3482.72,"",NA
"PRECOS12_IPCA12",2012-07-01,3497.7,"",NA
"PRECOS12_IPCA12",2012-08-01,3512.04,"",NA
"PRECOS12_IPCA12",2012-09-01,3532.06,"",NA
